"Fixed_Date","Date","SingleMen","SingleWomen","TotalSingleAdults","FamiliesWithChildren","AdultFamilies","TotalFamilies","NumberofAdultsinFamilies","NumberOfChildrenInFamilies"
2019-08-01,"August 2019","14929","5470","20399","13538","2771","16309","18068","23891"
2019-07-01,"July 2019","14840","5414","20254","13254","2766","16020","17739","23382"
2019-06-01,"June 2019","14775","5413","20188","13088","2739","15827","17521","22931"
2019-05-01,"May 2019","14910","5348","20258","13178","2762","15940","17601","23040"
2019-04-01,"April 2019","15044","5464","20520","13569","2730","16299","18137","23766"
2019-03-01,"March 2019","14855","5498","20353","13940","2794","16734","18659","24602"
2018-12-01,"December 2018","14491","5352","19843","13808","2760","16568","18486","24353"
2018-11-01,"November 2018","14594","5438","20041","13928","2778","16706","18636","24565"
2018-10-01,"October 2018","14532","5347","19879","14174","2796","16970","18997","24979"
2018-09-01,"September 2018","14140","5248","19388","14052","2725","16777","18891","24823"
2018-08-01,"August 2018","14202","5239","19441","13950","2714","16664","18825","24625"
2018-07-01,"July 2018","14059","5199","19258","13703","2702","16405","18590","24271"
2018-06-01,"June 2018","14003","5242","19251","13560","2643","16203","18429","24086"
2018-05-01,"May 2018","14181","5217","19404","13619","2650","16269","18567","24176"
2018-04-01,"April 2018","13084","5094","18178","13717","2681","16398","18756","24408"
2018-03-01,"March 2018","14056","5186","19247","13882","2686","16568","19026","24683"
2018-02-01,"February 2018","13685","5048","18739","13958","2699","16657","19065","24801"
2017-12-01,"December 2017","13258","5058","18321","14011","2753","16764","19160","24968"
2017-11-01,"November 2017","13202","4929","18131","14161","2939","16900","19345","25261"
2017-10-01,"October 2017","13127","5015","18142","14370","2782","17152","19653","25707"
2017-09-01,"September 2017","13035","4856","17891","14175","2781","16956","19384","25346"
2017-08-01,"August 2017","12962","4836","17798","14053","2783","16836","19226","25119"
2017-07-01,"July 2017","12771","4692","17463","13768","2748","16516","18837","24547"
2017-06-01,"June 2017","12870","4689","17559","13746","2691","16437","18794","24488"
2017-05-01,"May 2017","12861","4662","17523","13672","2787","16459","18786","24407"
2017-04-01,"April 2017","12744","4612","17356","13715","2760","16475","18818","24487"
2017-03-01,"March 2017","12813","4678","17491","13969","2773","16742","19217","25004"
2017-01-01,"January 2017","12547","4703","17250","14254","2773","17029","19597","25495"
2016-12-01,"December 2016","12359","4686","17045","14305","2754","17059","19650","25649"
2016-11-01,"November 2016","12279","4717","16996","14381","2709","17090","19775","25877"
2016-10-01,"October 2016","12223","4764","16987","14363","2664","17027","19791","25847"
2016-09-01,"September 2016","11948","4681","16629","14540","2657","17197","20055","26236"
2016-08-01,"August 2016","11964","4683","16647","14415","2654","17069","19982","26146"
2016-07-01,"July 2016","11937","4591","16528","13891","2587","16478","19315","25311"
2016-06-01,"June 2016","11893","4572","16465","13532","2574","16106","18828","24730"
2016-05-01,"May 2016","12000","4516","16516","13451","2538","15989","18799","24765"
2016-04-01,"April 2016","11965","4463","16494","13369","2503","15872","24010","24790"
2016-03-01,"March 2016","12019","4509","16593","13326","2454","15780","23860","25015"
2016-02-01,"February 2016","11821","4435","16319","13319","2430","15749","18638","25213"
2016-01-01,"January 2016","11838","4420","16320","13390","2440","15830","18755","25497"
2015-12-01,"December 2015","11213","3971","15233","13309","2394","15703","18702","25518"
2015-11-01,"November 2015","11543","4403","15946","13324","2403","15727","18778","25716"
2015-10-01,"October 2015","11562","4466","16028","13299","2388","15687","18792","25763"
2015-09-01,"September 2015","11384","4421","15805","13395","2378","15773","18941","26148"
2015-08-01,"August 2015","11257","4240","15497","13263","2340","15396","18833","25955"
