"Fixed_Date","Date","SingleMen","SingleWomen","TotalSingleAdults","FamiliesWithChildren","AdultFamilies","TotalFamilies","NumberofAdultsinFamilies","NumberOfChildrenInFamilies"
2019-08-01,"August 2019","237","1","238",NA,NA,NA,NA,NA
2019-07-01,"July 2019","232","1","233",NA,NA,NA,NA,NA
2019-06-01,"June 2019","231","1","232",NA,NA,NA,NA,NA
2019-05-01,"May 2019","238","1","239",NA,NA,NA,NA,NA
2019-04-01,"April 2019","235","1","236",NA,NA,NA,NA,NA
2019-03-01,"March 2019","225","0","225",NA,NA,NA,NA,NA
2018-12-01,"December 2018","221","0","221",NA,NA,NA,NA,NA
2018-11-01,"November 2018","220","0","220",NA,NA,NA,NA,NA
2018-10-01,"October 2018","225","0","225",NA,NA,NA,NA,NA
2018-09-01,"September 2018","215","0","215",NA,NA,NA,NA,NA
2018-08-01,"August 2018","209","0","209",NA,NA,NA,NA,NA
2018-07-01,"July 2018","205","0","205",NA,NA,NA,NA,NA
2018-06-01,"June 2018","188","0","188",NA,NA,NA,NA,NA
2018-05-01,"May 2018","188","0","188",NA,NA,NA,NA,NA
2018-04-01,"April 2018","169","0","169",NA,NA,NA,NA,NA
2018-03-01,"March 2018","159","0","159",NA,NA,NA,NA,NA
2018-02-01,"February 2018","147","0","147",NA,NA,NA,NA,NA
2017-12-01,"December 2017","151","0","151",NA,NA,NA,NA,NA
