"Fixed_Date","Date","SingleMen","SingleWomen","TotalSingleAdults","FamiliesWithChildren","AdultFamilies","TotalFamilies","NumberofAdultsinFamilies","NumberOfChildrenInFamilies"
2019-08-01,"August 2019","947","149","1096",NA,NA,NA,NA,NA
2019-07-01,"July 2019","930","143","1073",NA,NA,NA,NA,NA
2019-06-01,"June 2019","934","148","1082",NA,NA,NA,NA,NA
2019-05-01,"May 2019","940","146","1086",NA,NA,NA,NA,NA
2019-04-01,"April 2019","936","148","1086",NA,NA,NA,NA,NA
2019-03-01,"March 2019","929","138","1067",NA,NA,NA,NA,NA
2018-12-01,"December 2018","890","144","1034",NA,NA,NA,NA,NA
2018-11-01,"November 2018","870","136","1007",NA,NA,NA,NA,NA
2018-10-01,"October 2018","881","137","1018",NA,NA,NA,NA,NA
2018-09-01,"September 2018","882","140","1022",NA,NA,NA,NA,NA
2018-08-01,"August 2018","891","135","1026",NA,NA,NA,NA,NA
2018-07-01,"July 2018","873","138","1011",NA,NA,NA,NA,NA
2018-06-01,"June 2018","878","137","1015",NA,NA,NA,NA,NA
2018-05-01,"May 2018","876","137","1013",NA,NA,NA,NA,NA
2018-04-01,"April 2018","877","130","1007",NA,NA,NA,NA,NA
2018-03-01,"March 2018","888","134","1022",NA,NA,NA,NA,NA
2018-02-01,"February 2018","869","128","997",NA,NA,NA,NA,NA
2017-12-01,"December 2017","863","128","993",NA,NA,NA,NA,NA
2017-11-01,"November 2017","820","116","936",NA,NA,NA,NA,NA
2017-10-01,"October 2017","812","122","934",NA,NA,NA,NA,NA
2017-09-01,"September 2017","781","120","901",NA,NA,NA,NA,NA
2017-08-01,"August 2017","789","114","903",NA,NA,NA,NA,NA
2017-07-01,"July 2017","734","109","843",NA,NA,NA,NA,NA
2017-06-01,"June 2017","752","106","858",NA,NA,NA,NA,NA
2017-05-01,"May 2017","740","101","841",NA,NA,NA,NA,NA
2017-04-01,"April 2017","706","100","806",NA,NA,NA,NA,NA
2017-03-01,"March 2017","711","101","812",NA,NA,NA,NA,NA
2017-01-01,"January 2017","676","101","777",NA,NA,NA,NA,NA
2016-12-01,"December 2016","667","98","765",NA,NA,NA,NA,NA
2016-11-01,"November 2016","663","100","763",NA,NA,NA,NA,NA
2016-10-01,"October 2016","654","976","750",NA,NA,NA,NA,NA
2016-09-01,"September 2016","672","92","764",NA,NA,NA,NA,NA
2016-08-01,"August 2016","664","97","761",NA,NA,NA,NA,NA
2016-07-01,"July 2016","660","101","761",NA,NA,NA,NA,NA
2016-06-01,"June 2016","668","94","761",NA,NA,NA,NA,NA
2016-05-01,"May 2016","651","89","740",NA,NA,NA,NA,NA
2016-04-01,"April 2016","652","83","738",NA,NA,NA,NA,NA
2016-03-01,"March 2016","675","82","760",NA,NA,NA,NA,NA
2016-02-01,"February 2016","684","81","769",NA,NA,NA,NA,NA
2016-01-01,"January 2016","681","78","764",NA,NA,NA,NA,NA
2015-12-01,"December 2015","616","71","691",NA,NA,NA,NA,NA
2015-11-01,"November 2015","635","70","705",NA,NA,NA,NA,NA
2015-10-01,"October 2015","635","69","704",NA,NA,NA,NA,NA
2015-09-01,"September 2015","624","74","698",NA,NA,NA,NA,NA
2015-08-01,"August 2015","626","76","702",NA,NA,NA,NA,NA
2015-07-01,"July 2015","644","70","714",NA,NA,NA,NA,NA
2015-06-01,"June 2015","637","68","705",NA,NA,NA,NA,NA
2015-05-01,"May 2015","596","60","656",NA,NA,NA,NA,NA
2015-04-01,"April 2015","618","72","691",NA,NA,NA,NA,NA
2015-03-01,"March 2015","511","71","583",NA,NA,NA,NA,NA
2015-02-01,"February 2015","523","69","592",NA,NA,NA,NA,NA
2015-01-01,"January 2015","520","65","585",NA,NA,NA,NA,NA
2014-12-01,"December 2014","520","67","587",NA,NA,NA,NA,NA
2014-11-01,"November 2014","508","67","577",NA,NA,NA,NA,NA
2014-10-01,"October 2014","509","66","575",NA,NA,NA,NA,NA
2014-09-01,"September 2014","504","74","578",NA,NA,NA,NA,NA
2014-08-01,"August 2014","511","72","583",NA,NA,NA,NA,NA
2014-07-01,"July 2014","503","72","575",NA,NA,NA,NA,NA
2014-06-01,"June 2014","498","68","566",NA,NA,NA,NA,NA
2014-05-01,"May 2014","518","66","584",NA,NA,NA,NA,NA
2014-04-01,"April 2014","515","70","585",NA,NA,NA,NA,NA
2014-03-01,"March 2014","512","69","581",NA,NA,NA,NA,NA
2014-02-01,"February 2014","508","74","582",NA,NA,NA,NA,NA
2014-01-01,"January 2014","509","68","577",NA,NA,NA,NA,NA
2013-12-01,"December 2013","528","68","598",NA,NA,NA,NA,NA
2013-11-01,"November 2013","510","70","580",NA,NA,NA,NA,NA
2013-10-01,"October 2013","512","69","581",NA,NA,NA,NA,NA
2013-09-01,"September 2013","509","73","582",NA,NA,NA,NA,NA
2013-08-01,"August 2013","504","71","575",NA,NA,NA,NA,NA
2013-07-01,"July 2013","510","73","583",NA,NA,NA,NA,NA
2013-06-01,"June 2013","514","75","589",NA,NA,NA,NA,NA
2013-05-01,"May 2013","510","74","584",NA,NA,NA,NA,NA
2013-04-01,"April 2013","516","73","589",NA,NA,NA,NA,NA
2013-03-01,"March 2013",NA,NA,NA,NA,NA,NA,NA,NA
2013-02-01,"February 2013",NA,NA,NA,NA,NA,NA,NA,NA
2013-01-01,"January 2013",NA,NA,NA,NA,NA,NA,NA,NA
2012-12-01,"December 2012",NA,NA,NA,NA,NA,NA,NA,NA
2012-11-01,"November 2012",NA,NA,NA,NA,NA,NA,NA,NA
2012-10-01,"October 2012","516","66","582",NA,NA,NA,NA,NA
2012-09-01,"September 2012","506","62","568",NA,NA,NA,NA,NA
2012-08-01,"August 2012","524","62","586",NA,NA,NA,NA,NA
2012-07-01,"July 2012","504","61","565",NA,NA,NA,NA,NA
2012-06-01,"June 2012","493","60","553",NA,NA,NA,NA,NA
2012-05-01,"May 2012","63","484","547",NA,NA,NA,NA,NA
2012-04-01,"April 2012","502","66","568",NA,NA,NA,NA,NA
2012-03-01,"March 2012","521","68","589",NA,NA,NA,NA,NA
2012-02-01,"February 2012","524","62","586",NA,NA,NA,NA,NA
2012-01-01,"January 2012",NA,NA,NA,NA,NA,NA,NA,NA
2011-12-01,"December 2011",NA,NA,NA,NA,NA,NA,NA,NA
2011-11-01,"November 2011","478","45","523",NA,NA,NA,NA,NA
2011-10-01,"October 2011","533","42","575",NA,NA,NA,NA,NA
2011-09-01,"September 2011","768","100","868",NA,NA,NA,NA,NA
