"Fixed_Date","Date","SingleMen","SingleWomen","TotalSingleAdults","FamiliesWithChildren","AdultFamilies","TotalFamilies","NumberofAdultsinFamilies","NumberOfChildrenInFamilies"
2019-08-01,"August 2019","295","1","296",NA,NA,NA,NA,NA
2019-07-01,"July 2019","285","1","286",NA,NA,NA,NA,NA
2019-06-01,"June 2019","527","0","527",NA,NA,NA,NA,NA
2019-05-01,"May 2019","289","1","290",NA,NA,NA,NA,NA
2019-04-01,"April 2019","285","1","286",NA,NA,NA,NA,NA
2019-03-01,"March 2019","272","0","272",NA,NA,NA,NA,NA
2018-12-01,"December 2018","282","0","282",NA,NA,NA,NA,NA
2018-11-01,"November 2018","288","0","288",NA,NA,NA,NA,NA
2018-10-01,"October 2018","287","0","287",NA,NA,NA,NA,NA
2018-09-01,"September 2018","293","0","293",NA,NA,NA,NA,NA
2018-08-01,"August 2018","487","0","487",NA,NA,NA,NA,NA
2018-07-01,"July 2018","288","0","288",NA,NA,NA,NA,NA
2018-06-01,"June 2018","293","0","293",NA,NA,NA,NA,NA
2018-05-01,"May 2018","302","0","302",NA,NA,NA,NA,NA
2018-04-01,"April 2018","299","0","299",NA,NA,NA,NA,NA
2018-03-01,"March 2018","275","0","275",NA,NA,NA,NA,NA
2018-02-01,"February 2018","247","0","247",NA,NA,NA,NA,NA
2017-12-01,"December 2017","267","0","267",NA,NA,NA,NA,NA
2017-11-01,"November 2017","277","0","277",NA,NA,NA,NA,NA
2017-10-01,"October 2017","278","0","278",NA,NA,NA,NA,NA
2017-09-01,"September 2017","285","0","285",NA,NA,NA,NA,NA
2017-08-01,"August 2017","418","0","418",NA,NA,NA,NA,NA
2017-07-01,"July 2017","430","0","430",NA,NA,NA,NA,NA
2017-06-01,"June 2017","434","0","434",NA,NA,NA,NA,NA
2017-05-01,"May 2017","432","0","432",NA,NA,NA,NA,NA
2017-04-01,"April 2017","280","0","280",NA,NA,NA,NA,NA
2017-03-01,"March 2017","442","0","442",NA,NA,NA,NA,NA
2017-01-01,"January 2017","394","0","394",NA,NA,NA,NA,NA
2016-12-01,"December 2016","300","0","300",NA,NA,NA,NA,NA
2016-11-01,"November 2016","279","0","279",NA,NA,NA,NA,NA
2016-10-01,"October 2016","296","0","296",NA,NA,NA,NA,NA
2016-09-01,"September 2016","285","0","285",NA,NA,NA,NA,NA
2016-08-01,"August 2016","307","0","307",NA,NA,NA,NA,NA
2016-07-01,"July 2016","270","0","270",NA,NA,NA,NA,NA
2016-06-01,"June 2016","270","0","270",NA,NA,NA,NA,NA
2016-05-01,"May 2016","278","0","278",NA,NA,NA,NA,NA
2016-04-01,"April 2016","294","0","295",NA,NA,NA,NA,NA
2016-03-01,"March 2016","293","0","293",NA,NA,NA,NA,NA
2016-02-01,"February 2016","308","0","308",NA,NA,NA,NA,NA
2016-01-01,"January 2016","346","0","346",NA,NA,NA,NA,NA
2015-12-01,"December 2015","421","23","444",NA,NA,NA,NA,NA
2015-11-01,"November 2015","425","11","436",NA,NA,NA,NA,NA
2015-10-01,"October 2015","406","13","419",NA,NA,NA,NA,NA
